Input : id + id
Stack,Input,Action
$,ID PLUS ID $,Shift
$ ID,PLUS ID $,Reduce
$,PLUS ID $,Shift
$ PLUS,ID $,Shift
$ PLUS ID,$,Reduce
$ PLUS,$,Reduce
$,$,Accept
Input : id - id
Stack,Input,Action
$,ID MINUS ID $,Shift
$ ID,MINUS ID $,Reduce
$,MINUS ID $,Shift
$ MINUS,ID $,Shift
$ MINUS ID,$,Reduce
$ MINUS,$,Reduce
$,$,Accept
Input : id * id - id
Stack,Input,Action
$,ID TIMES ID MINUS ID $,Shift
$ ID,TIMES ID MINUS ID $,Reduce
$,TIMES ID MINUS ID $,Shift
$ TIMES,ID MINUS ID $,Shift
$ TIMES ID,MINUS ID $,Reduce
$ TIMES,MINUS ID $,Reduce
$,MINUS ID $,Shift
$ MINUS,ID $,Shift
$ MINUS ID,$,Reduce
$ MINUS,$,Reduce
$,$,Accept
Input : id * ( id  - id )
Stack,Input,Action
$,ID TIMES LPAREN ID MINUS ID RPAREN $,Shift
$ ID,TIMES LPAREN ID MINUS ID RPAREN $,Reduce
$,TIMES LPAREN ID MINUS ID RPAREN $,Shift
$ TIMES,LPAREN ID MINUS ID RPAREN $,Shift
$ TIMES LPAREN,ID MINUS ID RPAREN $,Shift
$ TIMES LPAREN ID,MINUS ID RPAREN $,Reduce
$ TIMES LPAREN,MINUS ID RPAREN $,Shift
$ TIMES LPAREN MINUS,ID RPAREN $,Shift
$ TIMES LPAREN MINUS ID,RPAREN $,Reduce
$ TIMES LPAREN MINUS,RPAREN $,Reduce
$ TIMES LPAREN,RPAREN $,Match and Pop
$ TIMES,$,Reduce
$,$,Accept
Input : id * ( id * (id - id))
Stack,Input,Action
$,ID TIMES LPAREN ID TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Shift
$ ID,TIMES LPAREN ID TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Reduce
$,TIMES LPAREN ID TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Shift
$ TIMES,LPAREN ID TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Shift
$ TIMES LPAREN,ID TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Shift
$ TIMES LPAREN ID,TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Reduce
$ TIMES LPAREN,TIMES LPAREN ID MINUS ID RPAREN RPAREN $,Shift
$ TIMES LPAREN TIMES,LPAREN ID MINUS ID RPAREN RPAREN $,Shift
$ TIMES LPAREN TIMES LPAREN,ID MINUS ID RPAREN RPAREN $,Shift
$ TIMES LPAREN TIMES LPAREN ID,MINUS ID RPAREN RPAREN $,Reduce
$ TIMES LPAREN TIMES LPAREN,MINUS ID RPAREN RPAREN $,Shift
$ TIMES LPAREN TIMES LPAREN MINUS,ID RPAREN RPAREN $,Shift
$ TIMES LPAREN TIMES LPAREN MINUS ID,RPAREN RPAREN $,Reduce
$ TIMES LPAREN TIMES LPAREN MINUS,RPAREN RPAREN $,Reduce
$ TIMES LPAREN TIMES LPAREN,RPAREN RPAREN $,Match and Pop
$ TIMES LPAREN TIMES,RPAREN $,Reduce
$ TIMES LPAREN,RPAREN $,Match and Pop
$ TIMES,$,Reduce
$,$,Accept
Input : id * id * id / ( id + id)
Stack,Input,Action
$,ID TIMES ID TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Shift
$ ID,TIMES ID TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Reduce
$,TIMES ID TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Shift
$ TIMES,ID TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Shift
$ TIMES ID,TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Reduce
$ TIMES,TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Reduce
$,TIMES ID DIVIDE LPAREN ID PLUS ID RPAREN $,Shift
$ TIMES,ID DIVIDE LPAREN ID PLUS ID RPAREN $,Shift
$ TIMES ID,DIVIDE LPAREN ID PLUS ID RPAREN $,Reduce
$ TIMES,DIVIDE LPAREN ID PLUS ID RPAREN $,Reduce
$,DIVIDE LPAREN ID PLUS ID RPAREN $,Shift
$ DIVIDE,LPAREN ID PLUS ID RPAREN $,Shift
$ DIVIDE LPAREN,ID PLUS ID RPAREN $,Shift
$ DIVIDE LPAREN ID,PLUS ID RPAREN $,Reduce
$ DIVIDE LPAREN,PLUS ID RPAREN $,Shift
$ DIVIDE LPAREN PLUS,ID RPAREN $,Shift
$ DIVIDE LPAREN PLUS ID,RPAREN $,Reduce
$ DIVIDE LPAREN PLUS,RPAREN $,Reduce
$ DIVIDE LPAREN,RPAREN $,Match and Pop
$ DIVIDE,$,Reduce
$,$,Accept
